order,wavelength,sensitivity
0,656.7905828108562,38.64381277887529
0,656.8016563271889,39.121311299067855
0,656.8127287132985,38.52941075732721
0,656.8237999691848,38.394665470971916
0,656.8348700948482,38.17408857676585
0,656.8459390902882,37.67590212736261
0,656.8570069555052,37.74552133724244
0,656.8680736904989,37.35541450199028
0,656.8791392952696,37.00890239858789
0,656.890203769817,36.96255450991913
0,656.9012671141414,36.93909430905298
0,656.9123293282427,37.06371784718972
0,656.9233904121206,36.37818637852437
0,656.9344503657755,36.04538981964288
0,656.9455091892073,35.91676485971381
0,656.9565668824158,36.25352495209493
0,656.9676234454013,35.55764556952573
0,656.9786788781636,35.67639401897796
0,656.9897331807026,35.34749686456486
0,657.0007863530186,34.836230048304174
0,657.0118383951115,34.84466071911515
0,657.0228893069811,34.65805984583574
0,657.0339390886276,34.626722306703044
0,657.0449877400509,34.440935939527584
0,657.0560352612512,34.184599515645736
0,657.0670816522282,33.935391449539864
0,657.0781269129822,33.88361594130237
0,657.0891710435128,33.51107369552866
0,657.1002140438204,33.57814740508216
0,657.1112559139049,33.31633013826567
0,657.1222966537662,33.2607668267972
0,657.1333362634043,33.21211565473798
0,657.1443747428193,33.010444865202494
0,657.1554120920111,32.71271671610249
0,657.1664483109798,32.55715691487064
0,657.1774833997254,32.72631983561274
0,657.1885173582477,32.297583155013385
0,657.199550186547,31.95316937721427
0,657.210581884623,31.741288872627045
0,657.2216124524759,31.828765137093484
0,657.2326418901057,31.728289981020477
0,657.2436701975123,31.497101749622367
0,657.2546973746958,31.097391919725013
0,657.2657234216562,31.329271163725338
0,657.2767483383933,31.147068045584465
0,657.2877721249073,31.09454556561597
0,657.2987947811981,30.525197513887722
0,657.3098163072658,30.74191081551893
0,657.3208367031104,30.49474063446499
0,657.3318559687318,30.420060333533044
0,657.34287410413,30.185637259348518
0,657.3538911093051,30.466430658203933
0,657.3649069842571,29.71957141592328
0,657.3759217289859,29.532134634080958
0,657.3869353434915,29.610680122239252
0,657.397947827774,29.424901359876625
0,657.4089591818333,29.648731649336458
0,657.4199694056695,29.19822623512622
0,657.4309784992826,29.234663073568612
0,657.4419864626724,28.907900036750036
0,657.4529932958392,28.87528996251518
0,657.4639989987827,28.63015432221819
0,657.4750035715031,28.70133509298896
0,657.4860070140004,28.409900169655167
0,657.4970093262745,28.583075944640747
0,657.5080105083255,28.552775559008992
0,657.5190105601533,28.303600646488533
0,657.5300094817579,28.125537228006227
0,657.5410072731395,27.794074469344746
0,657.5520039342978,27.739525404123526
0,657.562999465233,27.67733353388015
0,657.573993865945,27.695094327703156
0,657.5849871364339,27.278435764492894
0,657.5959792766997,27.495347864767034
0,657.6069702867422,27.171933138785086
0,657.6179601665617,27.167520414438528
0,657.628948916158,27.103887176900876
0,657.6399365355311,26.95576188986843
0,657.6509230246811,26.923985792341256
0,657.661908383608,26.657051952314227
0,657.6728926123117,26.633939409173223
0,657.6838757107921,26.40641681667782
0,657.6948576790495,26.67624365136837
0,657.7058385170837,26.29692175468551
0,657.7168182248948,26.315203651377807
0,657.7277968024828,26.14644065562276
0,657.7387742498476,25.89212358170382
0,657.7497505669892,25.64019269089308
0,657.7607257539075,25.800954411178807
0,657.7716998106029,25.702701739270566
0,657.782672737075,25.86188209863855
0,657.793644533324,25.63496182375814
0,657.8046151993499,25.669011581765545
0,657.8155847351526,25.390624715812955
0,657.8265531407321,25.35568596160773
0,657.8375204160885,25.237334722102464
0,657.8484865612218,25.211166396403737
0,657.8594515761318,25.103247198678595
0,657.8704154608188,25.13145593174485
0,657.8813782152826,24.655312024065385
0,657.8923398395233,24.833094168088664
0,657.9033003335408,24.777457231502567
0,657.9142596973351,24.672653369815052
0,657.9252179309062,24.88830102952614
0,657.9361750342542,24.35731274335193
0,657.9471310073791,24.353649779585474
0,657.9580858502809,24.427504199221904
0,657.9690395629594,24.27574080857185
0,657.9799921454148,24.263242287401475
0,657.9909435976471,24.06317384854724
0,658.0018939196563,24.061645952309178
0,658.0128431114422,23.785656357209287
0,658.023791173005,23.983775850897977
0,658.0347381043447,23.785946131471157
0,658.0456839054611,24.11812644002895
0,658.0566285763545,23.712028674697734
0,658.0675721170247,23.687541978174814
0,658.0785145274717,23.514208591316088
0,658.0894558076956,23.391117341453356
0,658.1003959576964,23.416514059494087
0,658.1113349774739,23.418770361920433
0,658.1222728670284,23.10271978743462
0,658.1332096263596,23.175703984002553
0,658.1441452554678,23.18204755531444
0,658.1550797543528,23.048990419041907
0,658.1660131230146,23.01095528481864
0,658.1769453614532,23.1485039560554
0,658.1878764696688,22.895609131580287
0,658.1988064476611,22.780769253467454
0,658.2097352954304,22.73204442689442
0,658.2206630129765,22.669051031152648
0,658.2315896002993,22.739640693817766
0,658.2425150573991,22.684344065869873
0,658.2534393842758,22.490257827023655
0,658.2643625809292,22.403208749124907
0,658.2752846473595,22.49900090821617
0,658.2862055835667,22.34971233545877
0,658.2971253895506,22.384126429790797
0,658.3080440653115,22.487347618636864
0,658.3189616108492,22.090393504495108
0,658.3298780261638,22.20715651450249
0,658.3407933112552,22.003037482746908
0,658.3517074661233,21.853551324756005
0,658.3626204907684,21.984806651873274
0,658.3735323851904,21.954407699143744
0,658.3844431493892,21.750982079930342
0,658.3953527833648,21.79709872129868
0,658.4062612871173,21.868769141145684
0,658.4171686606467,21.599140024684885
0,658.4280749039528,21.698535251699987
0,658.4389800170359,21.674041355463196
0,658.4498839998957,21.538068045167623
0,658.4607868525325,21.459169595470286
0,658.471688574946,21.56470268415508
0,658.4825891671364,21.463936163137987
0,658.4934886291037,21.410769324923972
0,658.5043869608478,21.271293189837213
0,658.5152841623687,21.224555304733254
0,658.5261802336665,21.243905070602413
0,658.5370751747412,21.052336221734294
0,658.5479689855927,21.177518243034676
0,658.558861666221,21.06488525874193
0,658.5697532166262,20.81638295583074
0,658.5806436368083,20.977938807721873
0,658.5915329267672,20.723385001628497
0,658.6024210865029,20.90023065302616
0,658.6133081160154,20.847207053230935
0,658.6241940153049,20.888030254055266
0,658.6350787843712,20.69888207417436
0,658.6459624232143,20.662973959998705
0,658.6568449318343,20.596640193354627
0,658.6677263102312,20.487716074453964
0,658.6786065584048,20.604328580252922
0,658.6894856763553,20.404581504586915
0,658.7003636640827,20.437950228633426
0,658.7112405215869,20.429060609416094
0,658.7221162488679,20.276357343979498
0,658.7329908459259,20.153665266073883
0,658.7438643127606,20.182966060909518
0,658.7547366493723,19.999998073572613
0,658.7656078557607,20.194276874995005
0,658.776477931926,20.03224789156274
0,658.7873468778681,19.96025436869939
0,658.7982146935872,19.852827504025843
0,658.809081379083,19.979741104034883
0,658.8199469343557,19.834962642983648
0,658.8308113594052,19.817193984436333
0,658.8416746542316,19.70324858561568
0,658.8525368188348,19.695008481219855
0,658.8633978532149,19.66884044945693
0,658.8742577573719,19.541466083523282
0,658.8851165313056,19.434419589401845
0,658.8959741750162,19.573857570395063
0,658.9068306885038,19.378026134171883
0,658.917686071768,19.449118786947874
0,658.9285403248092,19.345602906164867
0,658.9393934476273,19.292512675678715
0,658.9502454402221,19.31341041160734
0,658.9610963025938,19.27710030261009
0,658.9719460347424,19.203052581719827
0,658.9827946366678,19.117780216281645
0,658.9936421083701,19.056894777211827
0,659.0044884498492,18.97177194502678
0,659.015333661105,18.975299735081908
0,659.0261777421379,19.122404755705254
0,659.0370206929475,18.88495307001479
0,659.047862513534,18.986579776892395
0,659.0587032038974,18.79411902806746
0,659.0695427640376,18.658398469741403
0,659.0803811939546,18.68909839516119
0,659.0912184936485,18.755204695716518
0,659.1020546631192,18.748440004906335
0,659.1128897023668,18.48783008999358
0,659.1237236113913,18.5957987781584
0,659.1345563901925,18.444139336069362
0,659.1453880387706,18.453244987710846
0,659.1562185571256,18.50477917049286
0,659.1670479452574,18.51821015759634
0,659.1778762031661,18.286778969614613
0,659.1887033308516,18.20981549630462
0,659.199529328314,18.29272595655083
0,659.2103541955532,18.135064221725138
0,659.2211779325693,18.199938091799645
0,659.2320005393622,18.18946553206427
0,659.2428220159319,18.138073425865844
0,659.2536423622786,18.097732605064945
0,659.264461578402,17.90723253204382
0,659.2752796643023,17.951848580810715
0,659.2860966199794,17.875252803998507
0,659.2969124454335,17.832632161834777
0,659.3077271406643,17.862203577381422
0,659.3185407056719,17.859959925500192
0,659.3293531404565,17.73434628034615
0,659.3401644450179,17.65682210360285
0,659.3509746193561,17.746895351500786
0,659.3617836634712,17.638443661577934
0,659.3725915773631,17.596463743326964
0,659.3833983610319,17.448473435404246
0,659.3942040144775,17.5263254156008
0,659.4050085377,17.542511942496592
0,659.4158119306993,17.360470366638317
0,659.4266141934755,17.443062996519885
0,659.4374153260285,17.218332539337634
0,659.4482153283584,17.32988605063997
0,659.459014200465,17.245822440377413
0,659.4698119423487,17.3368996293049
0,659.480608554009,17.17020117888547
0,659.4914040354463,17.09308964260661
0,659.5021983866603,17.036826640869943
0,659.5129916076513,17.08557655442246
0,659.5237836984192,17.07721808655573
0,659.5345746589637,17.001593588887452
0,659.5453644892852,16.93459201460732
0,659.5561531893836,16.87628938685882
0,659.5669407592588,16.94606777731946
0,659.5777271989108,16.811109898966603
0,659.5885125083397,16.774359010169153
0,659.5992966875455,16.86393972292609
0,659.6100797365281,16.753976066461853
0,659.6208616552874,16.674377756536984
0,659.6316424438237,16.553149829022285
0,659.6424221021368,16.646996420215743
0,659.6532006302268,16.596731847821776
0,659.6639780280937,16.620059799063466
0,659.6747542957373,16.433770876228046
0,659.6855294331579,16.525125892539254
0,659.6963034403552,16.37114547364992
0,659.7070763173293,16.454806821436662
0,659.7178480640804,16.283186626776207
0,659.7286186806083,16.3763680653945
0,659.739388166913,16.22121286720156
0,659.7501565229946,16.321912111667675
0,659.7609237488531,16.191819408634778
0,659.7716898444884,16.14071740345335
0,659.7824548099006,16.144325010714425
0,659.7932186450896,16.13655824734864
0,659.8039813500554,16.16627123832038
0,659.8147429247981,16.124112799848774
0,659.8255033693176,16.01847862136721
0,659.836262683614,15.957271648363985
0,659.8470208676872,15.89822493255905
0,659.8577779215373,15.967094385679914
0,659.8685338451643,15.802020340046791
0,659.879288638568,15.818150487206811
0,659.8900423017486,15.90846410721122
0,659.9007948347061,15.834755063768629
0,659.9115462374405,15.815571078861495
0,659.9222965099516,15.704449130636334
0,659.9330456522396,15.774094805757784
0,659.9437936643044,15.715704177575386
0,659.9545405461462,15.663215734750313
0,659.9652862977647,15.504534023672166
0,659.9760309191602,15.515463989023809
0,659.9867744103324,15.542934157695688
0,659.9975167712814,15.666448898801024
0,660.0082580020074,15.534265314839077
0,660.0189981025102,15.487116705287303
0,660.0297370727899,15.531058986906643
0,660.0404749128463,15.465706016229193
0,660.0512116226797,15.428143881001086
0,660.0619472022898,15.44868726749478
0,660.0726816516769,15.397231396918055
0,660.0834149708407,15.305806845648643
0,660.0941471597815,15.339800903583512
0,660.104878218499,15.323312914890879
0,660.1156081469935,15.287638561057562
0,660.1263369452647,15.221751596651368
0,660.1370646133129,15.267161358902674
0,660.1477911511379,15.178828655609442
0,660.1585165587396,15.165838966277205
0,660.1692408361183,15.151044948775432
0,660.1799639832739,15.142263491142995
0,660.1906860002061,15.075753928879712
0,660.2014068869154,15.05305558674555
0,660.2121266434015,14.975115070855718
0,660.2228452696644,14.976530429592872
0,660.233562765704,14.970808654911206
0,660.2442791315207,14.95960479115595
0,660.2549943671141,14.884188379608899
0,660.2657084724844,14.862844623771084
0,660.2764214476316,14.835606629961717
0,660.2871332925556,14.838540375033903
0,660.2978440072563,14.874143081232251
0,660.308553591734,14.64277197137682
0,660.3192620459886,14.645156977376981
0,660.32996937002,14.655124878414535
0,660.3406755638282,14.795739636979008
0,660.3513806274133,14.690465730426968
0,660.3620845607752,14.58715888815757
0,660.372787363914,14.605052557544383
0,660.3834890368296,14.5479247978815
0,660.394189579522,14.575246249856754
0,660.4048889919914,14.597921455842444
0,660.4155872742375,14.499802270282643
0,660.4262844262605,14.561262980216874
0,660.4369804480604,14.41482372936142
0,660.447675339637,14.45393143911004
0,660.4583691009907,14.382774645236017
0,660.4690617321211,14.487438457891159
0,660.4797532330283,14.49672434776852
0,660.4904436037124,14.401296461323499
0,660.5011328441733,14.233152399882247
0,660.5118209544111,14.30758208676072
0,660.5225079344258,14.292497148338246
0,660.5331937842172,14.246005179775144
0,660.5438785037855,14.275116300859906
0,660.5545620931307,14.175817439257305
0,660.5652445522528,14.167202744171977
0,660.5759258811516,14.141216170258332
0,660.5866060798273,14.238551598954587
0,660.59728514828,14.100082203822327
0,660.6079630865094,14.102114947242528
0,660.6186398945157,13.997179121445745
0,660.6293155722988,14.06228176404293
0,660.6399901198587,14.029296453135663
0,660.6506635371956,14.063308139226717
0,660.6613358243092,14.092935096931972
0,660.6720069811997,14.126173991769795
0,660.682677007867,13.939744668989512
0,660.6933459043113,13.99931710323499
0,660.7040136705323,13.959257125785753
0,660.7146803065302,13.945778162002272
0,660.7253458123049,13.982114924362065
0,660.7360101878566,13.874148631240631
0,660.7466734331849,13.914973136196549
0,660.7573355482903,13.91418630736733
0,660.7679965331724,13.992048622375785
0,660.7786563878313,13.885840342719748
0,660.7893151122672,13.779065125984744
0,660.7999727064799,13.814291834254432
0,660.8106291704694,13.749172522037757
0,660.8212845042358,13.777666129987974
0,660.831938707779,13.720369490668038
0,660.8425917810991,13.715841911671447
0,660.853243724196,13.754889635766954
0,660.8638945370698,13.69534280801126
0,660.8745442197204,13.67482896194558
0,660.8851927721479,13.741185556474525
0,660.8958401943522,13.634224501882061
0,660.9064864863333,13.724500233445772
0,660.9171316480913,13.569950841193227
0,660.9277756796262,13.562545220868632
0,660.9384185809379,13.602423609815819
0,660.9490603520264,13.548808937183228
0,660.9597009928918,13.491279725656723
0,660.9703405035341,13.561518185734858
0,660.9809788839532,13.500177310744798
0,660.9916161341491,13.507556446037695
0,661.0022522541219,13.459584858566863
0,661.0128872438715,13.472222436914327
0,661.023521103398,13.419811960239967
0,661.0341538327013,13.42218149606058
0,661.0447854317815,13.438476190642167
0,661.0554159006385,13.376322672738894
0,661.0660452392724,13.47596736036413
0,661.0766734476831,13.325703042342475
0,661.0873005258707,13.28541413532452
0,661.0979264738351,13.346483783696714
0,661.1085512915764,13.29303870436009
0,661.1191749790945,13.412363682576668
0,661.1297975363894,13.281261271708615
0,661.1404189634612,13.332174647519166
0,661.1510392603099,13.29084292836314
0,661.1616584269354,13.260089816185861
0,661.1722764633378,13.235429326768877
0,661.1828933695169,13.243972151767888
0,661.1935091454731,13.260002097465689
0,661.2041237912059,13.174279956624401
0,661.2147373067156,13.210057935909512
0,661.2253496920023,13.215849859171472
0,661.2359609470657,13.219094042483931
0,661.2465710719059,13.065809612834165
0,661.2571800665231,13.122884863159028
0,661.267787930917,13.082366530415703
0,661.278394665088,13.07414369905993
0,661.2890002690356,13.097057368350736
0,661.29960474276,13.028407816154976
0,661.3102080862615,13.014660706087696
0,661.3208102995396,13.067919237152402
0,661.3314113825948,12.939039266659284
0,661.3420113354267,12.947792554862659
0,661.3526101580354,12.959701407315304
0,661.3632078504211,12.936481610412896
0,661.3738044125835,12.919381969961636
0,661.3843998445228,12.91565527778285
0,661.3949941462389,12.933447050277637
0,661.4055873177319,12.905512677444861
0,661.4161793590018,12.912102884104375
0,661.4267702700485,12.875366307168283
0,661.437360050872,12.90048771583606
0,661.4479487014725,12.85778384854053
0,661.4585362218497,12.788012411852307
0,661.4691226120037,12.813939971825036
0,661.4797078719347,12.82513312451489
0,661.4902920016425,12.754946651543905
0,661.5008750011272,12.715567757635814
0,661.5114568703885,12.776370749514104
0,661.5220376094269,12.804171689262525
0,661.5326172182421,12.705427487500886
0,661.5431956968341,12.773474012320536
0,661.553773045203,12.738307613016667
0,661.5643492633487,12.716915855973353
0,661.5749243512713,12.647770689554202
0,661.5854983089707,12.681079843996658
0,661.596071136447,12.641152135322544
0,661.6066428337001,12.67885895317137
0,661.6172134007301,12.612605834751916
0,661.6277828375369,12.682298620071393
0,661.6383511441205,12.646373034582929
0,661.648918320481,12.559368225364688
0,661.6594843666184,12.5555067559154
0,661.6700492825325,12.539868129057965
0,661.6806130682236,12.594095782818902
0,661.6911757236915,12.52341365345992
0,661.7017372489362,12.471352349827324
0,661.7122976439578,12.489420356570253
0,661.7228569087562,12.492626880235372
0,661.7334150433314,12.470389379431857
0,661.7439720476837,12.49835073929892
0,661.7545279218126,12.41055701031565
0,661.7650826657184,12.50645883812607
0,661.775636279401,12.385494272119683
0,661.7861887628605,12.433674514741929
0,661.796740116097,12.389324017178353
0,661.8072903391102,12.35215557816821
0,661.8178394319002,12.321609123694229
0,661.8283873944672,12.332056417050184
0,661.8389342268109,12.53018160954397
0,661.8494799289315,12.31490811569399
0,661.860024500829,12.3686875131527
0,661.8705679425033,12.400816051397545
